time/fps,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/n_updates,train/ent_coef_loss,time/episodes,train/critic_loss,train/ent_coef,time/total_timesteps,rollout/ep_rew_mean,train/actor_loss
76,300.0,0.0003,2008,151999,0.6472882032394409,510,3.183860371791525e-06,0.0004315492697060108,153000,1679.3559488900003,-3.490933418273926
76,300.0,0.0003,2048,154999,0.3002614378929138,520,2.14725878322497e-06,0.00043556696618907154,156000,1693.4035377100006,-3.423309803009033
76,300.0,0.0003,2088,157999,0.15124082565307617,530,7.169996933953371e-06,0.00042817500070668757,159000,1695.92981589,-3.444392681121826
76,300.0,0.0003,2128,160999,0.2952110171318054,540,6.448505700973328e-06,0.0004131728201173246,162000,1716.7972262800001,-3.3986668586730957
76,300.0,0.0003,2168,163999,0.5588704347610474,550,5.3181274779490195e-06,0.0004281559959053993,165000,1706.42081882,-3.437898635864258
76,300.0,0.0003,2208,166999,-0.07960958778858185,560,3.6597305097529897e-06,0.0004375313874334097,168000,1710.3513866600001,-3.3966360092163086
76,300.0,0.0003,2247,169999,-0.2431401163339615,570,8.98092366696801e-06,0.000427410239353776,171000,1718.8258839800005,-3.4777939319610596
76,300.0,0.0003,2286,172999,0.5906099677085876,580,1.6332423911080696e-05,0.0004359486629255116,174000,1703.6247195099995,-3.45902156829834
76,300.0,0.0003,2326,175999,-0.15067890286445618,590,2.9095940590195823e-06,0.0004339257429819554,177000,1714.6226180099995,-3.4558115005493164
76,300.0,0.0003,2366,178999,0.028947800397872925,600,4.870780685450882e-06,0.00044146034633740783,180000,1698.10518002,-3.45042085647583
76,300.0,0.0003,2402,181999,-0.761753261089325,610,7.142679351090919e-06,0.0004392939154058695,183000,1680.8644689800003,-3.505406379699707
76,300.0,0.0003,2442,184999,-0.44133466482162476,620,5.090335434942972e-06,0.00042620685417205095,186000,1669.37668395,-3.447760581970215
76,300.0,0.0003,2482,187999,-0.3029388189315796,630,3.034784413102898e-06,0.000408368359785527,189000,1651.0998034399997,-3.394050121307373
76,300.0,0.0003,2522,190999,0.3302145004272461,640,4.2215156099700835e-06,0.00042405741987749934,192000,1631.4201792899999,-3.428340435028076
76,300.0,0.0003,2561,193999,0.2281554937362671,650,3.873174136970192e-06,0.000408972060540691,195000,1649.8163943499999,-3.615304946899414
76,300.0,0.0003,2600,196999,0.3244391679763794,660,4.39454561274033e-06,0.00041111657628789544,198000,1611.9312650299998,-3.4847867488861084
