#{"t_start": 1780062163.6849408, "env_id": "None"}
r,l,t
1695.007326,300,2069.613053
1443.535623,300,2073.674615
1132.898968,300,2077.849438
2099.569857,300,2081.827995
2033.668375,300,2085.714368
1403.283942,300,2089.800501
1891.355111,300,2093.793737
1861.92573,300,2097.926035
1972.593507,300,2101.877943
1125.927234,300,2106.025578
1983.786199,300,2110.056534
2180.144473,300,2114.079898
2215.011277,300,2118.271974
1633.300689,300,2122.198877
1712.814319,300,2126.05593
2042.484582,300,2129.869505
1229.392425,300,2133.93278
1162.217917,300,2138.005729
2195.358089,300,2141.989268
1236.388652,300,2145.918127
1109.022877,300,2149.651225
1873.4162,300,2153.745302
1660.110134,300,2157.577119
1781.4989,300,2161.636381
1786.608916,300,2165.635324
1185.753347,300,2169.52316
2100.374394,300,2173.815063
2225.997895,300,2177.382452
1445.881459,300,2181.72323
1469.277316,300,2185.738976
2150.385462,300,2189.003879
1581.749364,300,2193.102908
2025.265792,300,2197.061782
1725.260868,300,2201.286545
1929.89423,300,2205.315506
1561.558394,300,2209.266037
1467.197475,300,2212.982093
1621.993282,300,2216.380674
1479.810277,300,2219.995091
1194.195769,300,2224.174348
1746.540151,300,2228.152039
2094.296321,300,2232.142302
1223.276198,300,2236.229743
2236.005004,300,2240.35917
1897.20895,300,2244.387976
1497.58553,300,2248.320159
1189.59253,300,2252.128489
1292.956435,300,2256.126632
1359.551461,300,2260.07164
2097.011861,300,2264.176165
1988.672764,300,2268.11031
1909.043166,300,2272.041408
1386.229951,300,2275.642179
1351.628481,300,2279.7002
1094.734252,300,2283.677833
1327.504237,300,2287.586398
1381.851444,300,2291.504899
1732.446659,300,2295.500753
1901.224208,300,2299.38187
1638.49326,300,2303.472058
1722.01264,300,2307.390638
1915.988033,300,2311.366473
1655.314577,300,2315.38637
1600.819516,300,2319.536082
1968.391499,300,2323.550272
1510.770657,300,2327.516351
1515.747702,300,2331.49785
1892.760138,300,2335.567966
1649.571607,300,2339.634406
1932.641911,300,2343.701608
1729.172163,300,2347.573302
1396.595252,300,2351.557131
1386.50218,300,2355.632955
1339.276163,300,2359.651521
1194.494244,300,2363.63448
1941.36781,300,2367.096651
1171.571589,300,2371.108635
1139.427133,300,2375.088664
1702.896693,300,2379.040731
1533.761126,300,2381.449615
2068.154037,300,2384.247552
1397.856133,300,2387.902002
1833.459355,300,2391.939122
1647.26766,300,2396.015627
2215.230828,300,2400.05027
1991.903782,300,2403.851799
1700.901914,300,2407.828475
1089.098138,300,2411.768687
1758.798587,300,2415.770792
1746.481014,300,2419.774393
2111.172415,300,2423.408889
1324.972111,300,2427.49891
1423.471673,300,2431.571052
1648.654043,300,2435.629711
2088.170193,300,2439.642849
1690.884793,300,2443.716742
1548.438671,300,2447.818051
1806.549764,300,2451.82193
1529.455047,300,2455.833059
