timesteps,actor_param_norm,critic0_param_norm,critic1_param_norm,critic_loss
126000,57.80758372694254,33.637518621981144,33.637518621981144,3.921047209587414e-06
127000,57.93625473976135,33.679435551166534,33.679435551166534,1.893005901365541e-05
128000,58.1202689409256,33.71602485328913,33.71602485328913,8.813691238174215e-06
129000,58.222104124724865,33.76000963896513,33.76000963896513,1.2337630323600024e-05
130000,58.36560382694006,33.8035738542676,33.8035738542676,4.203561729809735e-06
131000,58.4749109596014,33.843024626374245,33.843024626374245,7.635402653249912e-06
132000,58.60231079906225,33.88321195542812,33.88321195542812,1.4718334568897262e-05
133000,58.747551679611206,33.931395031511784,33.931395031511784,5.325364327291027e-06
134000,58.867078855633736,33.968977846205235,33.968977846205235,1.0490295608178712e-05
135000,58.98494365811348,34.00291061401367,34.00291061401367,3.891941105393926e-06
136000,59.07880962640047,34.046305410563946,34.046305410563946,3.915583420166513e-06
137000,59.21760265529156,34.08643113821745,34.08643113821745,3.108095370407682e-06
138000,59.341159254312515,34.12096965312958,34.12096965312958,5.561621946981177e-06
139000,59.430514723062515,34.15939796715975,34.15939796715975,2.7733833121601492e-05
140000,59.56965371966362,34.20654336363077,34.20654336363077,2.5737406303960597e-06
141000,59.630936071276665,34.24644812196493,34.24644812196493,4.9205718823941424e-06
142000,59.72116293013096,34.284213215112686,34.284213215112686,2.023421984631568e-06
143000,59.77694797515869,34.31435886025429,34.31435886025429,5.871026587556116e-06
144000,59.85535987466574,34.3544110134244,34.3544110134244,3.1220827167999232e-06
145000,59.91228801012039,34.388858027756214,34.388858027756214,4.55194094683975e-06
146000,60.00076895952225,34.42882911115885,34.42882911115885,6.564423529198393e-06
147000,60.06871227174997,34.45916247367859,34.45916247367859,3.2457248835271457e-06
148000,60.14030057191849,34.50261612981558,34.50261612981558,3.0958954084781e-06
149000,60.1960466876626,34.541016951203346,34.541016951203346,6.505506917164894e-06
150000,60.2079673409462,34.57702552527189,34.57702552527189,2.6703412459028186e-06
151000,60.24785713851452,34.61736249923706,34.61736249923706,1.3418920389085542e-05
152000,60.29247158765793,34.65940283983946,34.65940283983946,2.4032229703152552e-05
153000,60.37570285797119,34.6976897791028,34.6976897791028,3.183860371791525e-06
154000,60.408227041363716,34.738438837230206,34.738438837230206,1.038586015056353e-05
155000,60.43471433222294,34.77180007845163,34.77180007845163,5.500038241734728e-06
156000,60.501908197999,34.809467524290085,34.809467524290085,2.14725878322497e-06
157000,60.571188256144524,34.839791759848595,34.839791759848595,1.4593313153454801e-06
158000,60.649660125374794,34.867560639977455,34.867560639977455,6.0407228374970146e-06
159000,60.70624276995659,34.90615211427212,34.90615211427212,7.169996933953371e-06
160000,60.78152917325497,34.93266584724188,34.93266584724188,2.6578761662676698e-06
161000,60.85497575998306,34.96264776587486,34.96264776587486,2.4942599338828586e-05
162000,60.966762378811836,34.98496827483177,34.98496827483177,6.448505700973328e-06
163000,61.04003505408764,35.01304234564304,35.01304234564304,1.7819249933381798e-06
164000,61.14583811163902,35.03864709287882,35.03864709287882,1.6223643797275145e-06
165000,61.199698850512505,35.066247791051865,35.066247791051865,5.3181274779490195e-06
166000,61.21469050645828,35.08994121104479,35.08994121104479,2.5677554731373675e-06
167000,61.2528837621212,35.12223467230797,35.12223467230797,3.014524054378853e-06
168000,61.28454264998436,35.14434974640608,35.14434974640608,3.6597305097529897e-06
169000,61.32805535197258,35.1728927642107,35.1728927642107,1.631287659620284e-06
170000,61.38663277029991,35.19754111766815,35.19754111766815,2.020571173488861e-06
171000,61.44518405199051,35.22661796212196,35.22661796212196,8.98092366696801e-06
172000,61.51045669615269,35.25175577402115,35.25175577402115,1.2629028788069263e-05
173000,61.56740015745163,35.28662792593241,35.28662792593241,2.1539576664508786e-06
174000,61.608497247099876,35.308523051440716,35.308523051440716,1.6332423911080696e-05
175000,61.63987201452255,35.34127402305603,35.34127402305603,1.9234350929764332e-06
176000,61.68772333860397,35.37229039520025,35.37229039520025,1.619670456420863e-06
177000,61.75175470113754,35.40143995732069,35.40143995732069,2.9095940590195823e-06
178000,61.79546882212162,35.42412676662207,35.42412676662207,1.5644550330762286e-06
179000,61.841575279831886,35.44428528100252,35.44428528100252,4.921362051391043e-05
180000,61.90429486334324,35.47157046198845,35.47157046198845,4.870780685450882e-06
181000,61.95754323899746,35.50208377838135,35.50208377838135,1.8880982679547742e-06
182000,62.02113281190395,35.528342105448246,35.528342105448246,6.118095370766241e-06
183000,62.06732031702995,35.554130502045155,35.554130502045155,7.142679351090919e-06
184000,62.116463124752045,35.57938311249018,35.57938311249018,2.264028580611921e-06
185000,62.19832515716553,35.60553065687418,35.60553065687418,2.78788843388611e-06
186000,62.26537622511387,35.62848987430334,35.62848987430334,5.090335434942972e-06
187000,62.328152537345886,35.658291809260845,35.658291809260845,1.9528315533534624e-06
188000,62.39364179968834,35.68319112807512,35.68319112807512,8.545875061827246e-06
189000,62.46806417405605,35.709642097353935,35.709642097353935,3.034784413102898e-06
190000,62.55499519407749,35.7341848090291,35.7341848090291,7.534335509262746e-06
191000,62.60226973891258,35.760493256151676,35.760493256151676,1.707766500658181e-06
192000,62.66611887514591,35.78849434107542,35.78849434107542,4.2215156099700835e-06
193000,62.69048999249935,35.811280727386475,35.811280727386475,1.7332170045847306e-06
194000,62.76103462278843,35.83619521558285,35.83619521558285,9.881161986413645e-07
195000,62.8395653963089,35.8580582216382,35.8580582216382,3.873174136970192e-06
196000,62.866145983338356,35.882488928735256,35.882488928735256,9.293064067605883e-06
197000,62.96203652024269,35.899578750133514,35.899578750133514,1.2057201274728868e-05
198000,63.02773301303387,35.9244489595294,35.9244489595294,4.39454561274033e-06
199000,63.08592392504215,35.9507744461298,35.9507744461298,2.296477759955451e-06
200000,63.15460677444935,35.968346424400806,35.968346424400806,4.17218961956678e-06
