#{"t_start": 1780067405.1669965, "env_id": "None"}
r,l,t
1706.533995,300,2346.423863
1994.474182,300,2350.369662
1701.434643,300,2354.328212
1679.1058,300,2358.357759
2284.048463,300,2362.158606
2326.227326,300,2366.12281
1751.861002,300,2369.76969
1964.332824,300,2373.435112
2310.981951,300,2377.159647
1733.588168,300,2380.967522
2308.065415,300,2384.938962
2203.319574,300,2388.792366
1411.116523,300,2392.761332
2112.502259,300,2396.524362
1935.352458,300,2400.590351
1315.244342,300,2404.565735
2298.381496,300,2408.544683
1365.962838,300,2412.610543
1675.264305,300,2416.543699
1507.594376,300,2420.669026
2272.882562,300,2424.621791
2063.921469,300,2428.454641
2015.164087,300,2431.182935
1836.164749,300,2434.351624
1580.247955,300,2437.469224
1761.608112,300,2441.498819
2313.588684,300,2445.542311
1417.415502,300,2449.332763
2267.649914,300,2453.386297
2155.470554,300,2456.858981
1887.336215,300,2460.810141
1834.038514,300,2464.685736
1715.52492,300,2468.38105
2283.803337,300,2472.244743
2064.807017,300,2476.275306
1164.085455,300,2480.296325
1578.15339,300,2484.058273
1690.372397,300,2487.840438
1659.560021,300,2491.401973
1690.921062,300,2494.934095
2004.405462,300,2498.809869
2276.241914,300,2502.743577
